TIMESTAMP,MAC,USER,CPU,RAM,DISCO,PROC,BATERIA,TEMP,statusCPU,statusRAM,statusDISCO,statusTEMP
2025-10-26 18:23:11,50-EB-F6-37-F1-98,guilh,96.5,53.5,69.5,302,100,98.44,CRÍTICO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:23:25,50-EB-F6-37-F1-98,guilh,58.8,54.6,69.5,305,100,72.45,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:23:38,50-EB-F6-37-F1-98,guilh,71.4,54.6,69.5,303,100,80.62,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:23:52,50-EB-F6-37-F1-98,guilh,45.7,52.2,69.5,303,100,66.47,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:32,50-EB-F6-37-F1-98,guilh,48.0,52.0,69.5,302,100,65.38,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:46,50-EB-F6-37-F1-98,guilh,52.6,52.1,69.5,303,100,70.47,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:59,50-EB-F6-37-F1-98,guilh,53.0,51.0,69.5,303,100,69.27,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:26,50-EB-F6-37-F1-98,guilh,63.3,51.4,69.5,304,100,76.24,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:25:39,50-EB-F6-37-F1-98,guilh,55.9,51.4,69.5,304,100,70.55,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:59,50-EB-F6-37-F1-98,guilh,31.2,51.5,69.5,305,100,57.76,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
2025-10-26 18:27:39,50-EB-F6-37-F1-98,guilh,45.2,51.4,69.5,304,100,64.21,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:06,50-EB-F6-37-F1-98,guilh,57.0,51.6,69.5,303,100,66.62,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:19,50-EB-F6-37-F1-98,guilh,48.0,51.6,69.5,303,100,67.38,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:59,50-EB-F6-37-F1-98,guilh,43.3,51.6,69.5,303,100,64.32,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:25,50-EB-F6-37-F1-98,guilh,55.4,51.7,69.5,302,100,70.66,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:30:19,50-EB-F6-37-F1-98,guilh,38.7,51.5,69.5,303,100,60.48,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:23:11,50-EB-F6-37-F1-98,guilh,96.5,53.5,69.5,302,100,96.38,CRÍTICO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:23:25,50-EB-F6-37-F1-98,guilh,58.8,54.6,69.5,305,100,72.2,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:23:38,50-EB-F6-37-F1-98,guilh,71.4,54.6,69.5,303,100,78.72,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:24:05,50-EB-F6-37-F1-98,guilh,57.3,52.2,69.5,303,100,71.61,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:19,50-EB-F6-37-F1-98,guilh,52.5,52.1,69.5,302,100,68.07,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:32,50-EB-F6-37-F1-98,guilh,48.0,52.0,69.5,302,100,67.12,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:46,50-EB-F6-37-F1-98,guilh,52.6,52.1,69.5,303,100,67.0,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:12,50-EB-F6-37-F1-98,guilh,46.4,51.0,69.5,303,100,64.28,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:53,50-EB-F6-37-F1-98,guilh,52.1,51.4,69.5,304,100,68.61,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:06,50-EB-F6-37-F1-98,guilh,62.4,51.4,69.5,303,100,74.58,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:33,50-EB-F6-37-F1-98,guilh,61.2,51.3,69.5,302,100,75.19,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:26:46,50-EB-F6-37-F1-98,guilh,34.4,51.6,69.5,305,100,59.53,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
2025-10-26 18:27:12,50-EB-F6-37-F1-98,guilh,55.7,51.5,69.5,305,100,70.58,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:39,50-EB-F6-37-F1-98,guilh,45.2,51.4,69.5,304,100,65.52,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:32,50-EB-F6-37-F1-98,guilh,42.2,51.6,69.5,303,100,65.09,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:46,50-EB-F6-37-F1-98,guilh,23.4,52.0,69.5,303,100,55.51,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
2025-10-26 18:29:12,50-EB-F6-37-F1-98,guilh,64.6,51.6,69.5,303,100,76.58,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:29:25,50-EB-F6-37-F1-98,guilh,55.4,51.7,69.5,302,100,69.26,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:30:05,50-EB-F6-37-F1-98,guilh,62.1,51.5,69.5,301,100,73.7,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:30:19,50-EB-F6-37-F1-98,guilh,38.7,51.5,69.5,303,100,64.05,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:23:38,50-EB-F6-37-F1-98,guilh,71.4,54.6,69.5,303,100,80.8,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:24:05,50-EB-F6-37-F1-98,guilh,57.3,52.2,69.5,303,100,72.21,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:19,50-EB-F6-37-F1-98,guilh,52.5,52.1,69.5,302,100,68.51,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:32,50-EB-F6-37-F1-98,guilh,48.0,52.0,69.5,302,100,62.96,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:12,50-EB-F6-37-F1-98,guilh,46.4,51.0,69.5,303,100,65.18,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:39,50-EB-F6-37-F1-98,guilh,55.9,51.4,69.5,304,100,69.59,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:53,50-EB-F6-37-F1-98,guilh,52.1,51.4,69.5,304,100,69.16,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:06,50-EB-F6-37-F1-98,guilh,62.4,51.4,69.5,303,100,72.33,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:33,50-EB-F6-37-F1-98,guilh,61.2,51.3,69.5,302,100,74.46,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:46,50-EB-F6-37-F1-98,guilh,34.4,51.6,69.5,305,100,60.41,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:12,50-EB-F6-37-F1-98,guilh,55.7,51.5,69.5,305,100,71.51,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:25,50-EB-F6-37-F1-98,guilh,49.6,51.4,69.5,304,100,67.46,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:52,50-EB-F6-37-F1-98,guilh,53.3,51.5,69.5,303,100,67.98,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:06,50-EB-F6-37-F1-98,guilh,57.0,51.6,69.5,303,100,70.8,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:19,50-EB-F6-37-F1-98,guilh,48.0,51.6,69.5,303,100,67.36,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:32,50-EB-F6-37-F1-98,guilh,42.2,51.6,69.5,303,100,61.58,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:59,50-EB-F6-37-F1-98,guilh,43.3,51.6,69.5,303,100,64.45,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:12,50-EB-F6-37-F1-98,guilh,64.6,51.6,69.5,303,100,74.28,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:25,50-EB-F6-37-F1-98,guilh,55.4,51.7,69.5,302,100,69.34,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:39,50-EB-F6-37-F1-98,guilh,45.1,51.5,69.5,303,100,65.58,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:30:05,50-EB-F6-37-F1-98,guilh,62.1,51.5,69.5,301,100,76.09,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:30:19,50-EB-F6-37-F1-98,guilh,38.7,51.5,69.5,303,100,60.55,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:30:32,50-EB-F6-37-F1-98,guilh,31.1,51.6,69.5,303,100,56.5,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
2025-10-26 18:23:11,50-EB-F6-37-F1-98,guilh,96.5,53.5,69.5,302,100,97.2,CRÍTICO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:23:25,50-EB-F6-37-F1-98,guilh,58.8,54.6,69.5,305,100,72.53,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:05,50-EB-F6-37-F1-98,guilh,57.3,52.2,69.5,303,100,70.58,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:39,50-EB-F6-37-F1-98,guilh,55.9,51.4,69.5,304,100,70.48,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:06,50-EB-F6-37-F1-98,guilh,62.4,51.4,69.5,303,100,76.35,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:26:20,50-EB-F6-37-F1-98,guilh,55.6,51.4,69.5,302,100,72.42,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:33,50-EB-F6-37-F1-98,guilh,61.2,51.3,69.5,302,100,73.16,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:46,50-EB-F6-37-F1-98,guilh,34.4,51.6,69.5,305,100,59.16,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
2025-10-26 18:27:12,50-EB-F6-37-F1-98,guilh,55.7,51.5,69.5,305,100,71.81,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:39,50-EB-F6-37-F1-98,guilh,45.2,51.4,69.5,304,100,65.61,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:52,50-EB-F6-37-F1-98,guilh,53.3,51.5,69.5,303,100,69.13,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:06,50-EB-F6-37-F1-98,guilh,57.0,51.6,69.5,303,100,72.93,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:19,50-EB-F6-37-F1-98,guilh,48.0,51.6,69.5,303,100,67.2,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:32,50-EB-F6-37-F1-98,guilh,42.2,51.6,69.5,303,100,61.08,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:59,50-EB-F6-37-F1-98,guilh,43.3,51.6,69.5,303,100,64.65,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:12,50-EB-F6-37-F1-98,guilh,64.6,51.6,69.5,303,100,76.3,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:29:25,50-EB-F6-37-F1-98,guilh,55.4,51.7,69.5,302,100,70.61,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:39,50-EB-F6-37-F1-98,guilh,45.1,51.5,69.5,303,100,65.5,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:52,50-EB-F6-37-F1-98,guilh,44.5,51.5,69.5,303,100,65.88,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:30:05,50-EB-F6-37-F1-98,guilh,62.1,51.5,69.5,301,100,77.03,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:30:19,50-EB-F6-37-F1-98,guilh,38.7,51.5,69.5,303,100,62.86,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:23:11,50-EB-F6-37-F1-98,guilh,96.5,53.5,69.5,302,100,96.27,CRÍTICO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:23:25,50-EB-F6-37-F1-98,guilh,58.8,54.6,69.5,305,100,73.34,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:05,50-EB-F6-37-F1-98,guilh,57.3,52.2,69.5,303,100,69.83,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:19,50-EB-F6-37-F1-98,guilh,52.5,52.1,69.5,302,100,68.7,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:32,50-EB-F6-37-F1-98,guilh,48.0,52.0,69.5,302,100,65.93,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:46,50-EB-F6-37-F1-98,guilh,52.6,52.1,69.5,303,100,70.9,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:26,50-EB-F6-37-F1-98,guilh,63.3,51.4,69.5,304,100,73.7,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:39,50-EB-F6-37-F1-98,guilh,55.9,51.4,69.5,304,100,68.39,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:06,50-EB-F6-37-F1-98,guilh,62.4,51.4,69.5,303,100,75.95,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:26:33,50-EB-F6-37-F1-98,guilh,61.2,51.3,69.5,302,100,72.4,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:59,50-EB-F6-37-F1-98,guilh,31.2,51.5,69.5,305,100,58.91,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
2025-10-26 18:27:12,50-EB-F6-37-F1-98,guilh,55.7,51.5,69.5,305,100,70.41,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:25,50-EB-F6-37-F1-98,guilh,49.6,51.4,69.5,304,100,68.05,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:19,50-EB-F6-37-F1-98,guilh,48.0,51.6,69.5,303,100,64.13,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:32,50-EB-F6-37-F1-98,guilh,42.2,51.6,69.5,303,100,63.34,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:59,50-EB-F6-37-F1-98,guilh,43.3,51.6,69.5,303,100,63.05,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:29:39,50-EB-F6-37-F1-98,guilh,45.1,51.5,69.5,303,100,65.22,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:30:32,50-EB-F6-37-F1-98,guilh,31.1,51.6,69.5,303,100,56.33,NEUTRO,ATENÇÃO,CRÍTICO,NEUTRO
